DATE,y
2012-01-01,
2012-01-02,4872.4228
2012-01-03,2216.4964
2012-01-04,1361.1496
2012-01-05,1229.5647999999999
2012-01-06,320.4816
2012-01-07,1232.5128
2012-01-08,127.304
2012-01-09,3601.9228000000003
2012-01-10,4680.1044
2012-01-11,4364.8752
2012-01-12,4514.916
2012-01-13,5018.0432
2012-01-14,9812.1624
2012-01-15,2837.86
2012-01-16,5859.64
2012-01-17,3696.3712
2012-01-18,1544.8888
2012-01-19,1037.5416
2012-01-20,3533.8752000000004
2012-01-21,964.3488000000001
2012-01-22,434.954
2012-01-23,1555.1612
2012-01-24,2314.5264
2012-01-25,1655.4307999999999
2012-01-26,999.5324
2012-01-27,1343.3824
2012-01-28,762.1232000000001
2012-01-29,66.1304
2012-01-30,2192.362
2012-01-31,1556.6676
2012-02-01,2589.98
2012-02-02,2108.3979999999997
2012-02-03,1327.4504000000002
2012-02-04,1023.7028
2012-02-05,55.742399999999996
2012-02-06,1356.3211999999999
2012-02-07,1457.4604000000002
2012-02-08,1729.8239999999998
2012-02-09,1940.4024
2012-02-10,1717.8472
2012-02-11,527.5536
2012-02-12,
2012-02-13,909.1283999999999
2012-02-14,1694.694
2012-02-15,1570.0035999999998
2012-02-16,887.7564
2012-02-17,1707.0764000000001
2012-02-18,609.3356
2012-02-19,
2012-02-20,1332.8764
2012-02-21,2024.08
2012-02-22,3158.1352
2012-02-23,1684.7923999999998
2012-02-24,1915.7144
2012-02-25,1019.6808
2012-02-26,
2012-02-27,2115.9244
2012-02-28,1952.4204
2012-02-29,2652.836
2012-03-01,1196.498
2012-03-02,1123.6028
2012-03-03,1050.638
2012-03-04,132.0772
2012-03-05,1916.9516
2012-03-06,3192.1884000000005
2012-03-07,2401.8716
2012-03-08,2396.0584
2012-03-09,1178.7032000000002
2012-03-10,884.5372
2012-03-11,157.9852
2012-03-12,1294.7356
2012-03-13,1361.0683999999999
2012-03-14,2505.7488
2012-03-15,3270.2291999999998
2012-03-16,1528.6216
2012-03-17,1087.212
2012-03-18,50.1368
2012-03-19,1778.5896
2012-03-20,3125.4936
2012-03-21,1441.9124
2012-03-22,2745.3644
2012-03-23,2026.5444
2012-03-24,759.4739999999999
2012-03-25,269.2168
2012-03-26,1376.9412
2012-03-27,2155.1564000000003
2012-03-28,2709.93
2012-03-29,930.5032000000001
2012-03-30,2206.8656
2012-03-31,1759.506
2012-04-01,0.0
2012-04-02,1503.6204
2012-04-03,2955.3808000000004
2012-04-04,2424.9736
2012-04-05,1058.894
2012-04-06,1940.9328
2012-04-07,1478.2751999999998
2012-04-08,196.8576
2012-04-09,
2012-04-10,2611.408
2012-04-11,2430.64
2012-04-12,1926.36
2012-04-13,1155.6692
2012-04-14,865.2675999999999
2012-04-15,63.8112
2012-04-16,1556.24
2012-04-17,2014.96
2012-04-18,1747.0728
2012-04-19,1488.7751999999998
2012-04-20,1541.82
2012-04-21,789.1508
2012-04-22,2.7144
2012-04-23,1399.7856
2012-04-24,2699.3671999999997
2012-04-25,115.7544
2012-04-26,2945.798
2012-04-27,1605.8908
2012-04-28,593.4852
2012-04-29,90.846
2012-04-30,784.6856
2012-05-01,
2012-05-02,3996.5148
2012-05-03,3378.3944
2012-05-04,1347.59
2012-05-05,2296.7536
2012-05-06,139.11360000000002
2012-05-07,1490.6196
2012-05-08,2390.0756
2012-05-09,2960.7076
2012-05-10,1627.1512
2012-05-11,2119.9672
2012-05-12,2940.8876
2012-05-13,140.4448
2012-05-14,2759.4336
2012-05-15,2335.3035999999997
2012-05-16,1442.2848000000001
2012-05-17,1459.6232
2012-05-18,2310.5132
2012-05-19,1894.244
2012-05-20,103.86959999999999
2012-05-21,2061.212
2012-05-22,2511.5535999999997
2012-05-23,2828.5815999999995
2012-05-24,3593.6220000000003
2012-05-25,2188.9492
2012-05-26,1632.744
2012-05-27,137.8168
2012-05-28,2666.53
2012-05-29,2594.9328
2012-05-30,1742.8928
2012-05-31,2706.5608
2012-06-01,3355.4156
2012-06-03,78.7248
2012-06-04,848.5903999999999
2012-06-05,1982.6556
2012-06-06,1889.7456
2012-06-07,3240.6892
2012-06-08,2200.2312
2012-06-09,1208.6828
2012-06-10,0.0
2012-06-11,1935.5716
2012-06-12,1521.7128
2012-06-13,1597.9
2012-06-14,1440.9648000000002
2012-06-15,2577.2208
2012-06-16,496.4996
2012-06-17,351.8176
2012-06-18,1693.0323999999998
2012-06-19,3229.8171999999995
2012-06-20,1867.5672
2012-06-21,1891.0156
2012-06-22,1371.9807999999998
2012-06-23,601.8304
2012-06-24,
2012-06-25,853.5111999999999
2012-06-26,1620.9844
2012-06-27,1136.1632
2012-06-28,2565.1492000000003
2012-06-29,1616.2936
2012-06-30,829.8048
2012-07-01,
2012-07-02,856.802
2012-07-03,2109.3004
2012-07-04,1612.6556
2012-07-05,1313.0620000000001
2012-07-06,810.6292
2012-07-07,1078.5339999999999
2012-07-08,81.9944
2012-07-09,1041.2884
2012-07-10,1132.3524
2012-07-11,1128.5652
2012-07-12,1703.8496
2012-07-13,1371.662
2012-07-14,220.40720000000002
2012-07-15,169.94080000000002
2012-07-16,1184.8936
2012-07-17,2025.3288
2012-07-18,720.1316
2012-07-19,1302.312
2012-07-20,1452.1648
2012-07-21,484.7036
2012-07-22,0.0
2012-07-23,1272.9160000000002
2012-07-24,1465.3048000000001
2012-07-25,1026.1496
2012-07-26,1345.1528
2012-07-27,1578.3968
2012-07-28,1265.1148
2012-07-29,33.7732
2012-07-30,1497.2672
2012-07-31,1958.6896
2012-08-01,727.4476
2012-08-02,1031.4332000000002
2012-08-03,1125.636
2012-08-04,466.1748
2012-08-05,
2012-08-06,311.8824
2012-08-07,636.5596
2012-08-08,1240.808
2012-08-09,218.1796
2012-08-10,211.2352
2012-08-11,520.202
2012-08-13,
2012-08-14,
2012-08-15,
2012-08-16,49.1268
2012-08-17,164.8148
2012-08-18,
2012-08-19,
2012-08-20,43.194799999999994
2012-08-21,291.4812
2012-08-22,427.7472
2012-08-23,119.796
2012-08-24,280.0652
2012-08-25,362.38599999999997
2012-08-26,
2012-08-27,1032.2736
2012-08-28,1185.8555999999999
2012-08-29,903.6648
2012-08-30,1032.36
2012-08-31,736.1064
2012-09-01,364.0988
2012-09-02,
2012-09-03,1226.7048
2012-09-04,1436.3856
2012-09-05,2220.4804
2012-09-06,1189.6832000000002
